brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Acer,i7,1.8,4.6,Intel,DDR4,8,2133,256,14,1920 x 1080,HD,0,Hợp kim,Windows,Dolby,5,Wi-Fi 5,0.94,14.9,228,329,2018,1,0,1,1,0,0,0,0,12,3,19620000
Acer,i7,1.8,4.6,Intel,DDR4,8,2400,256,14,1920 x 1080,HD,0,Hợp kim,Windows,TrueHarmony,5,Wi-Fi 5,0.94,14.9,228,329,2018,1,0,1,1,0,0,0,0,12,3,20660000
Acer,i7,1.5,4.2,Intel,DDR3,16,1866,512,14,1920 x 1080,HD,0,Hợp kim,Windows,TrueHarmony,5,Wi-Fi 5,9.95,191.5,317.9,890,2019,1,1,1,1,0,0,0,0,12,3,36890000
Acer,i3,2.2,3.4,Intel,DDR4,4,2133,1024,14,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,4,Wi-Fi 5,1.5,18.7,228,323,,1,0,0,1,0,0,0,0,12,3,9760000
Acer,i3,2.7,3.1,Intel,DDR3L,4,2133,128,12,2160 x 1440,HD,1,Kim loại,Windows,Stereo,4,Wi-Fi 5,0.92,9.6,201.8,292.9,2019,1,0,1,1,0,0,0,0,12,3,16600000
Apple,i5,1.8,2.9,Intel,DDR3L,8,1600,128,13.3,1440 x 900,HD,1,Kim loại,MacOS,Other,4,Wi-Fi 5,1.35,17,,,2017,1,1,0,0,0,0,0,0,12,3,16370000
Apple,i3,1.1,3.2,Intel,LPDDR4X,8,3733,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 5,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,3,23740000
Apple,i3,1.1,3.2,Intel,LPDDR4X,8,3733,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 5,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,3,23030000
Apple,i5,1.1,3.5,Intel,LPDDR4X,8,3733,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 5,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,3,25150000
Apple,M1,,,Intel,,16,,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 6,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,7,29060000
Apple,M1,,,Intel,,16,,512,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 6,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,9.5,34650000
Apple,M1,,,Intel,,8,,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 6,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,3,23740000
Apple,M1,,,Intel,,8,,512,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 6,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,5.5,29440000
Apple,M1,,,Intel,,16,,1024,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Dolby,5,Wi-Fi 6,1.4,15.6,212.4,304.1,2020,1,1,0,1,0,0,0,0,12,6,43930000
Apple,M1,,,Intel,,16,,512,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Dolby,5,Wi-Fi 6,1.4,15.6,212.4,304.1,2020,1,1,0,1,0,0,0,0,12,3.5,37050000
Apple,M1,,,Intel,,8,,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Dolby,5,Wi-Fi 6,1.4,15.6,212.4,304.1,2020,1,1,0,1,0,0,0,0,12,3,28660000
Apple,M1,,,Intel,,8,,512,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Dolby,5,Wi-Fi 6,1.4,15.6,212.4,304.1,2020,1,1,0,1,0,0,0,0,12,3,32750000
Apple,M1,,,Intel,,16,,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Dolby,5,Wi-Fi 6,1.4,15.6,212.4,304.1,2020,1,1,0,1,0,0,0,0,12,7,33170000
Apple,i5,1.4,3.9,Intel,LPDDR3,8,2133,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Dolby,5,Wi-Fi 5,1.4,15.6,212.4,304.1,2020,1,1,0,1,0,0,0,0,12,3,28660000
Apple,,1.6,2.7,Intel,DDR3L,4,1600,,13.3,1440 x 900,HD,1,Kim loại,,Other,4,Wi-Fi 5,1.35,,,,,,1,0,0,0,0,0,0,12,6,19450000
Apple,i5,1.1,3.5,Intel,LPDDR4X,8,3733,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,5,Wi-Fi 5,1.29,4.1,16.1,212.4,2020,1,1,0,1,0,0,0,0,12,3,26200000
Apple,,1.6,2.7,Intel,DDR3L,4,1600,,11.6,1366 x 768,HD,0,Kim loại,MacOS,Other,4,Wi-Fi 5,1.08,17,192,300,,,1,0,0,0,0,0,0,12,6,18230000
Apple,i5,1.6,2.7,Intel,DDR3L,8,1600,128,13.3,1440 x 900,HD,1,Kim loại,MacOS,Other,4,Wi-Fi 5,1.35,17,,,,1,1,0,0,0,0,0,0,12,3,18420000
Apple,i7,2.6,4.5,,DDR4,16,2400,256,15.4,2880 x 1800,HD,0,Kim loại,MacOS,Stereo,5,Wi-Fi 5,1.83,15.5,240.7,349.3,,1,1,0,1,0,0,0,0,12,5,48120000
Apple,i5,2.3,3.6,Intel,DDR3,8,2133,128,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,,,,1,1,0,0,0,0,0,0,12,6,28760000
Apple,i5,2.9,3.3,Intel,DDR4,8,2133,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,212.4,304.1,,1,1,0,0,0,0,0,0,12,6,37220000
Apple,i5,3.1,3.5,Intel,DDR3,8,2133,256,13.3,2560 x 1600,HD,0,Kim loại,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,,,,1,1,0,0,0,0,0,0,12,6,36370000
Asus,i5,1.6,4.2,Intel,LPDDR3,8,2133,512,14,1920 x 1080,HD,0,Hợp kim,Windows,Harman,5,Wi-Fi 6,0.995,14.9,203,320,2020,1,1,0,1,0,0,1,0,24,12,30090000
Asus,i7,2.6,4.5,NVIDIA RTX,DDR4,8,2666,512,15.6,1920 x 1080,,0,Kim loại,Windows,Smart AMP,5,Wi-Fi 5,2.4,26,275,360,2019,1,0,0,0,0,0,0,1,24,6.5,28950000
Asus,i7,2.6,4.5,NVIDIA GTX,DDR4,8,2666,512,15.6,1920 x 1080,,0,Nhựa,Windows,Smart AMP,5,Wi-Fi 5,2.4,26,275,360,2019,1,0,0,0,0,0,0,1,24,6.5,20370000
Asus,i5,2.5,4.5,NVIDIA GTX,DDR4,8,2933,512,15.6,1920 x 1080,,0,Nhựa,Windows,Smart AMP,5.1,Wi-Fi 6,2.3,25.8,275,360,2020,1,0,0,0,0,0,0,0,24,17,20500000
Asus,i7,2.6,5,NVIDIA GTX,DDR4,8,2933,512,15.6,1920 x 1080,,0,Nhựa,Windows,Smart AMP,5.1,Wi-Fi 6,2.3,25.8,275,360,2020,1,0,0,0,0,0,0,0,24,12,22500000
Asus,R9,3,4.6,NVIDIA RTX,DDR4,16,3200,1024,14,2560 x 1440,,0,Nhựa,Windows,Dolby,5.1,Wi-Fi 6,1.7,19.9,220,324,2021,1,0,0,1,0,0,0,1,24,23,44540000
Asus,i5,2.7,4.5,NVIDIA RTX,DDR4,8,2933,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256,359,2020,1,1,0,0,0,0,0,1,24,12,20580000
Asus,i7,2.3,4.6,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256,359,2021,1,1,0,0,0,0,0,1,24,20.5,24740000
Asus,i5,2.7,4.5,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256,359,2021,1,0,0,0,0,0,0,1,24,22,22920000
